path,size,file_label,infer_time
/Users/ryan/Desktop/oceans/CLIVAR/A12_ANTXXIV_3_2008/Fah2010a.pdf,10165986,freetext,21243.1253
/Users/ryan/Desktop/oceans/Benjamin/For_Stew/CdiacBundles/65DK/Metadata_cslo28feb2015.doc,4356096,freetext,19849.19028
/Users/ryan/Desktop/oceans/GLODAPv2/09AR20110104/SR03_09AR20110104_do.pdf,2565795,freetext,11225.47098
/Users/ryan/Desktop/oceans/CLIVAR/A12_ANT_XXVII_2/ANT_XXVII_2_cruise_report.pdf,4811946,freetext,8556.202375
/Users/ryan/Desktop/oceans/I08R_OACES_1995/IR8Ndoc.pdf,7054093,freetext,6704.904789
/Users/ryan/Desktop/oceans/CLIVAR/I09S_2012/09AR20120105_do.pdf,2153921,freetext,5074.797421
/Users/ryan/Desktop/oceans/All_Oceans_GLODAP_gridded_ODV/GLODAP-v1.1/gridded/GLODAP-v1.1_gridded.dob,128645550,freetext,4914.394043
/Users/ryan/Desktop/oceans/Historical_C14_obs/Linick_1978.pdf,1846085,freetext,2306.97365
/Users/ryan/Desktop/oceans/p14swoce_noaa/p14sdo.pdf,4512512,freetext,2147.249933
/Users/ryan/Desktop/oceans/Key/GLODAP_C14.mp4,37931922,freetext,1751.244126
/Users/ryan/Desktop/oceans/Arctica_Islandica_C14/Scourse_et_al.2012_Radiocarbon.pdf,547676,freetext,1642.791834
/Users/ryan/Desktop/oceans/2nd_QC_Tool_V2/Reference_data/2ndQC_ReferenceData.mat,43839641,freetext,1639.830606
/Users/ryan/Desktop/oceans/CLIVAR/P14S_S04_2012/P14S_S04_49NZ20121128_do.pdf,71023855,freetext,1409.239475
/Users/ryan/Desktop/oceans/CLIVAR/S04I_2013/49NZ20130106_do.pdf,71023855,freetext,1404.062914
/Users/ryan/Desktop/oceans/All_Oceans_GLODAP_ODV/GLODAP-v1.1/bottle/GLODAP-v1.1_bottle.dob,47144215,freetext,1281.160007
/Users/ryan/Desktop/oceans/CLIVAR/A16S_2013/A16S_33RO20131223do.pdf,16132165,freetext,1224.491337
/Users/ryan/Desktop/oceans/Benjamin/For_Stew/CdiacBundles/35MJ/metadata_coli26may4jun2015.doc,253952,freetext,565.1064172
/Users/ryan/Desktop/oceans/Benjamin/For_Stew/CdiacBundles/35MJ/metadata_coli7jun18jun2015.doc,252928,freetext,563.7930031
/Users/ryan/Desktop/oceans/Benjamin/For_Stew/CdiacBundles/35MJ/metadata_coli26feb10mar2015.doc,253952,freetext,563.0034528
/Users/ryan/Desktop/oceans/Benjamin/For_Stew/CdiacBundles/35MJ/metadata_coli12mar24mar2015.doc,253440,freetext,554.355103
/Users/ryan/Desktop/oceans/CLIVAR/A10_2011/a10_33RO20110926_do.pdf,18989610,freetext,395.77141
/Users/ryan/Desktop/oceans/2nd_QC_Tool/refdata/GLODAP_Pac.mat,12966176,freetext,364.9267108
/Users/ryan/Desktop/oceans/CLIVAR/P01_2007.data/P01_2007_doc.pdf,8103250,freetext,310.756561
/Users/ryan/Desktop/oceans/CLIVAR/P16S_2014/p16s_320620140320do.pdf,17215739,freetext,297.322228
/Users/ryan/Desktop/oceans/2nd_QC_Tool/refdata/CARINA_ATL.mat,11201950,freetext,288.9033921
